y_true,y_pred,y_probs
1,1,"[0.0005339704803191125, 0.9974308609962463, 0.002035105135291815]"
0,0,"[0.999376118183136, 7.535948680015281e-05, 0.0005484705907292664]"
2,2,"[0.0002471464977134019, 0.0002549120399635285, 0.9994978904724121]"
0,0,"[0.9949340224266052, 0.0004511106526479125, 0.004614910110831261]"
1,1,"[3.644263415480964e-06, 0.9999759197235107, 2.0375540771055967e-05]"
2,2,"[1.8700892212564213e-07, 8.33718090120783e-08, 0.9999997615814209]"
2,2,"[0.024887381121516228, 0.2044101357460022, 0.7707024812698364]"
2,2,"[0.021851567551493645, 0.016194235533475876, 0.9619541764259338]"
2,2,"[2.5287621610914357e-05, 1.2839241207984742e-05, 0.9999618530273438]"
2,2,"[0.0019562840461730957, 0.0008224776247516274, 0.9972212314605713]"
1,1,"[0.006236753426492214, 0.9761917591094971, 0.01757146790623665]"
2,2,"[0.000557397841475904, 0.0007978783105500042, 0.9986447691917419]"
0,0,"[0.9997567534446716, 7.443489448633045e-05, 0.00016871078696567565]"
2,2,"[1.3706887330044992e-05, 1.2394932127790526e-05, 0.9999738931655884]"
2,2,"[1.0005822332459502e-05, 8.073611752479337e-06, 0.9999818801879883]"
0,0,"[0.9999229907989502, 1.3409616258286405e-05, 6.369999027810991e-05]"
2,2,"[2.225288653789903e-06, 1.4157940313452855e-06, 0.9999963045120239]"
0,0,"[0.9901641011238098, 0.0023460504598915577, 0.007489737588912249]"
2,2,"[3.12028305415879e-06, 9.832527894104715e-07, 0.9999959468841553]"
2,2,"[0.005527454428374767, 0.0014005325501784682, 0.993071973323822]"
2,2,"[1.229249278367206e-06, 1.5556233847746626e-06, 0.9999972581863403]"
2,2,"[0.00044362532207742333, 0.00026877166237682104, 0.9992876648902893]"
2,2,"[2.8988301892240997e-06, 1.605970510354382e-06, 0.9999954700469971]"
2,2,"[6.613675941480324e-05, 4.0502298361388966e-05, 0.999893307685852]"
2,2,"[1.9928013443859527e-06, 1.090351020138769e-06, 0.9999969005584717]"
2,2,"[7.780158921377733e-05, 4.4367021473590285e-05, 0.9998778104782104]"
2,2,"[3.913650289177895e-06, 1.5983537196007092e-06, 0.9999945163726807]"
2,2,"[0.0006192725850269198, 0.005300476681441069, 0.9940802454948425]"
2,2,"[3.238454837628524e-07, 9.565352598883692e-08, 0.9999995231628418]"
0,0,"[0.9956325888633728, 0.00029544634162448347, 0.004071950912475586]"
1,1,"[0.000440427684225142, 0.9985484480857849, 0.001011083833873272]"
2,2,"[6.601932545891032e-05, 8.598456042818725e-05, 0.9998480081558228]"
2,2,"[0.00010239741823170334, 6.507733633043244e-05, 0.9998325109481812]"
2,2,"[8.15385556052206e-06, 2.891797748816316e-06, 0.9999889135360718]"
2,2,"[2.1902767912251875e-05, 1.2789731044904329e-05, 0.9999653100967407]"
2,2,"[0.0007722210721112788, 0.00044006711686961353, 0.9987877011299133]"
1,1,"[0.002763924887403846, 0.9921557903289795, 0.005080214701592922]"
2,2,"[0.00037049935781396925, 0.0002288927062181756, 0.9994006156921387]"
0,0,"[0.9991004467010498, 0.00023563594731967896, 0.0006640202482230961]"
1,1,"[0.0010534762404859066, 0.995561957359314, 0.003384483978152275]"
2,2,"[0.0016469123074784875, 0.0006998195312917233, 0.9976533055305481]"
2,2,"[1.7524022041470744e-05, 1.7060028767446056e-05, 0.9999654293060303]"
1,1,"[0.002082961378619075, 0.9894089698791504, 0.008508054539561272]"
2,2,"[6.688834673695965e-06, 7.076989277265966e-06, 0.9999862909317017]"
2,2,"[0.0013265195302665234, 0.003735282924026251, 0.9949381351470947]"
2,2,"[4.831104433833389e-06, 2.584908088465454e-06, 0.9999926090240479]"
2,2,"[4.304500578200532e-07, 1.9312372501190112e-07, 0.9999994039535522]"
2,2,"[3.343224008744983e-08, 1.5361379723799473e-08, 1.0]"
2,2,"[7.574166374979541e-05, 3.0250801501097158e-05, 0.9998940229415894]"
2,2,"[9.687270903668832e-06, 8.390505172428675e-06, 0.9999818801879883]"
2,2,"[0.0005184428882785141, 0.0002618955331854522, 0.9992196559906006]"
2,2,"[4.501415240554252e-09, 2.009060695584708e-09, 1.0]"
2,2,"[4.717264346254524e-06, 2.1538385226449464e-06, 0.999993085861206]"
1,1,"[0.0013117355993017554, 0.9949250221252441, 0.0037631853483617306]"
2,2,"[0.011636805720627308, 0.005052339285612106, 0.9833108186721802]"
2,2,"[1.3114089597365819e-05, 9.932529792422429e-06, 0.9999769926071167]"
2,2,"[0.0021790589671581984, 0.0017654914408922195, 0.9960554838180542]"
2,2,"[2.04598927666666e-05, 9.386223609908484e-06, 0.9999701976776123]"
1,1,"[0.00014500317047350109, 0.999409556388855, 0.00044547818833962083]"
2,2,"[7.868843567848671e-06, 3.293154577477253e-06, 0.9999887943267822]"
2,2,"[5.198890448809834e-06, 3.1806555398361525e-06, 0.9999916553497314]"
0,0,"[0.9999997615814209, 2.993987946453558e-09, 2.1592565246919548e-07]"
2,2,"[8.363361121155322e-05, 7.490793359465897e-05, 0.9998414516448975]"
0,0,"[0.9994251728057861, 4.986701605957933e-05, 0.0005249495734460652]"
0,0,"[0.987102210521698, 0.0015903788153082132, 0.011307385750114918]"
0,0,"[0.9999637603759766, 4.641602572519332e-06, 3.154228761559352e-05]"
1,1,"[0.0012141854967921972, 0.9965093731880188, 0.0022764697205275297]"
0,0,"[0.8734351396560669, 0.023471269756555557, 0.10309360921382904]"
2,2,"[5.786863766843453e-06, 2.526753405618365e-06, 0.9999916553497314]"
2,2,"[7.690234724577749e-07, 4.2396183630444284e-07, 0.9999988079071045]"
2,2,"[0.0009459611610509455, 0.00035181327257305384, 0.9987021684646606]"
1,1,"[0.0006370926857925951, 0.997192919254303, 0.002170032123103738]"
0,0,"[0.7892389893531799, 0.0031358627602458, 0.2076251357793808]"
0,0,"[0.9978210926055908, 0.00037560617784038186, 0.0018033068627119064]"
2,2,"[4.789032459484588e-07, 3.7864248270125245e-07, 0.9999991655349731]"
2,2,"[3.234220287140488e-07, 1.7060250456779613e-07, 0.9999995231628418]"
2,2,"[1.862078352132812e-05, 7.755556907795835e-06, 0.9999736547470093]"
2,2,"[1.0872873872358468e-06, 4.059209572915279e-07, 0.9999984502792358]"
2,2,"[0.0035991650074720383, 0.008619065396487713, 0.9877817630767822]"
0,0,"[0.9965782761573792, 0.0006469711079262197, 0.0027747841086238623]"
2,2,"[0.001644517993554473, 0.0008995943935588002, 0.997455894947052]"
2,2,"[0.0001289471983909607, 0.00012132475239923224, 0.9997497200965881]"
2,2,"[4.489372713578632e-06, 1.8657606233318802e-06, 0.9999936819076538]"
2,2,"[6.677117198705673e-06, 6.611730441363761e-06, 0.9999867677688599]"
0,0,"[0.9957183003425598, 0.0010335446568205953, 0.0032481506932526827]"
2,2,"[4.1631687054177746e-05, 3.271940295235254e-05, 0.9999256134033203]"
2,2,"[0.0002800496877171099, 0.00017141737043857574, 0.9995484948158264]"
2,1,"[0.006640508770942688, 0.9400715231895447, 0.05328792706131935]"
2,2,"[1.3832569720761967e-06, 5.38590143150941e-07, 0.9999980926513672]"
2,2,"[2.392385431448929e-05, 8.550992788514122e-06, 0.9999675750732422]"
0,0,"[0.999944806098938, 6.014511200191919e-06, 4.9200301873497665e-05]"
2,0,"[0.6395986676216125, 0.11960621178150177, 0.24079512059688568]"
2,2,"[7.2003986133495346e-06, 1.063174113369314e-05, 0.9999821186065674]"
0,0,"[0.9999597072601318, 2.8267641027923673e-06, 3.7476034776773304e-05]"
2,2,"[0.03755411505699158, 0.01941826194524765, 0.9430276155471802]"
2,2,"[3.841654461211874e-08, 1.34702311527235e-08, 1.0]"
0,0,"[0.9952276945114136, 0.0007749712676741183, 0.003997303079813719]"
2,2,"[7.485067180823535e-05, 0.00012751654139719903, 0.9997976422309875]"
2,2,"[4.316635511258937e-07, 2.86874467292364e-07, 0.9999992847442627]"
0,0,"[0.9999547004699707, 4.804947366210399e-06, 4.057782280142419e-05]"
2,2,"[2.3519203296018532e-07, 1.506041655829904e-07, 0.9999996423721313]"
2,2,"[2.2968162738834508e-05, 1.2570088983920868e-05, 0.9999644756317139]"
1,1,"[0.0005400144145824015, 0.9977320432662964, 0.0017279423773288727]"
1,1,"[0.00034617382334545255, 0.998508870601654, 0.0011449537705630064]"
2,2,"[2.269683818667545e-06, 1.016832584355143e-06, 0.9999966621398926]"
2,2,"[2.7926946131628938e-05, 2.3076356228557415e-05, 0.9999489784240723]"
2,2,"[0.0012722027022391558, 0.0005904150893911719, 0.998137354850769]"
2,2,"[1.212018196383724e-05, 6.774858320568455e-06, 0.9999810457229614]"
2,2,"[0.0002640315215103328, 0.00010132821626029909, 0.9996346235275269]"
2,2,"[0.04390657693147659, 0.07512210309505463, 0.8809713125228882]"
0,0,"[0.9995651841163635, 4.066825931658968e-05, 0.00039421411929652095]"
2,2,"[2.0609313651220873e-05, 1.6869893443072215e-05, 0.999962568283081]"
2,2,"[3.325197394588031e-05, 1.5228407391987275e-05, 0.9999514818191528]"
2,2,"[2.186179699492641e-06, 8.859184390530572e-07, 0.9999969005584717]"
2,2,"[2.961791096822708e-07, 1.307860202359734e-07, 0.9999995231628418]"
2,2,"[0.008765031583607197, 0.004670730791985989, 0.9865642786026001]"
0,0,"[0.9999954700469971, 3.5868680470230174e-07, 4.154608632234158e-06]"
0,0,"[0.9990692734718323, 0.0001309780782321468, 0.0007996994536370039]"
2,2,"[4.107898712391034e-05, 1.910128048621118e-05, 0.9999397993087769]"
2,2,"[0.0004037330800201744, 0.0004948953283019364, 0.9991014003753662]"
0,0,"[0.9955779314041138, 0.000721566379070282, 0.0037004633340984583]"
2,2,"[1.10283135654754e-05, 6.959975053177914e-06, 0.9999819993972778]"
1,1,"[0.0019834942650049925, 0.992500364780426, 0.005516257137060165]"
2,2,"[9.044249509315705e-07, 5.172603323444491e-07, 0.9999985694885254]"
2,2,"[0.0012512009125202894, 0.000791902479249984, 0.9979568719863892]"
2,2,"[0.0008794149616733193, 0.00039937987457960844, 0.998721182346344]"
1,1,"[0.0015010216739028692, 0.9913568496704102, 0.007142154034227133]"
2,2,"[1.3000125136386487e-06, 5.055405267739843e-07, 0.9999982118606567]"
2,2,"[1.821739061824701e-07, 6.011715925069439e-08, 0.9999997615814209]"
0,0,"[0.9999401569366455, 2.8825404569943203e-06, 5.701030386262573e-05]"
2,2,"[1.755076300469227e-05, 9.4625647761859e-06, 0.999972939491272]"
2,2,"[5.398577584969644e-09, 1.5543514253479884e-09, 1.0]"
2,2,"[2.708385977712169e-07, 1.5420562249346403e-07, 0.9999995231628418]"
2,2,"[0.0001519306970294565, 0.00020982757268939167, 0.9996381998062134]"
2,2,"[2.701884795897058e-06, 1.2351669056442915e-06, 0.9999960660934448]"
0,0,"[0.9975184202194214, 0.0002989458735100925, 0.0021826964803040028]"
2,2,"[8.598546264693141e-05, 8.026314753806219e-05, 0.9998337030410767]"
0,0,"[0.9999821186065674, 1.2646659115489456e-06, 1.6576535927015357e-05]"
2,2,"[3.1596994176652515e-06, 4.7866219574643765e-06, 0.9999920129776001]"
0,0,"[0.999792754650116, 2.694073918974027e-05, 0.00018028097110800445]"
2,2,"[3.6081928556086496e-05, 8.933705430536065e-06, 0.9999549388885498]"
0,0,"[0.999248206615448, 0.00014247270883060992, 0.0006092834519222379]"
2,2,"[0.0002947801840491593, 0.00033405519207008183, 0.9993712306022644]"
2,2,"[0.0018639968475326896, 0.0007128727156668901, 0.9974231719970703]"
0,0,"[0.9961422085762024, 0.0007808164809830487, 0.0030770867597311735]"
2,2,"[1.2371734747773644e-08, 4.094194316905941e-09, 1.0]"
2,2,"[0.005235129036009312, 0.0017674341797828674, 0.992997407913208]"
2,2,"[2.244049612798449e-09, 6.509874861393428e-10, 1.0]"
1,1,"[0.0002690367109607905, 0.9990891218185425, 0.000641841848846525]"
1,1,"[1.522848197055282e-05, 0.9999134540557861, 7.126553100533783e-05]"
0,0,"[0.9970176219940186, 0.00045337737537920475, 0.00252896873280406]"
1,1,"[0.0003498891310300678, 0.9969372749328613, 0.0027128406800329685]"
2,2,"[2.992818372149486e-05, 4.821858965442516e-05, 0.9999217987060547]"
2,2,"[1.9457283997326158e-05, 1.8716151316766627e-05, 0.9999618530273438]"
2,2,"[0.0001107403077185154, 7.576662756036967e-05, 0.9998134970664978]"
0,0,"[0.7322136163711548, 0.009045378305017948, 0.2587410807609558]"
2,2,"[0.03255583718419075, 0.0018119742162525654, 0.9656322002410889]"
2,2,"[2.7463756850920618e-06, 1.152730419562431e-06, 0.9999960660934448]"
1,1,"[0.006292176898568869, 0.74593186378479, 0.24777597188949585]"
0,0,"[0.9889668822288513, 0.0006505721830762923, 0.01038257498294115]"
2,2,"[1.608391357876826e-05, 4.381544204079546e-05, 0.999940037727356]"
2,2,"[1.3748423270953936e-06, 6.327529149530164e-07, 0.9999979734420776]"
0,0,"[0.9974071383476257, 0.0005220475140959024, 0.0020707494113594294]"
2,2,"[0.0002301194763276726, 0.0002149435895262286, 0.9995549321174622]"
0,0,"[0.9956113696098328, 0.0012870639329776168, 0.0031016231514513493]"
2,2,"[9.372866770718247e-05, 5.793596574221738e-05, 0.9998483657836914]"
0,0,"[0.9993991851806641, 0.00010786559141706675, 0.000493047758936882]"
2,2,"[0.0038198167458176613, 0.0011913402704522014, 0.9949888586997986]"
2,2,"[0.2638770341873169, 0.05384843796491623, 0.682274580001831]"
2,2,"[3.522617646467552e-07, 3.347607275827613e-07, 0.9999992847442627]"
2,2,"[1.5432145561433686e-09, 5.631871635713992e-10, 1.0]"
0,0,"[0.9999994039535522, 2.1311373998855743e-08, 5.769833819613268e-07]"
2,2,"[6.576611212949501e-06, 3.289316964583122e-06, 0.9999901056289673]"
2,2,"[5.862388661626028e-06, 3.869455213134643e-06, 0.9999902248382568]"
2,2,"[4.0115446608979255e-05, 7.269201159942895e-05, 0.999887228012085]"
0,0,"[0.977218747138977, 0.005931462161242962, 0.016849789768457413]"
2,2,"[2.372598373767687e-06, 1.519379793535336e-06, 0.9999960660934448]"
2,2,"[1.161341970146168e-06, 1.4107048400546773e-06, 0.9999973773956299]"
2,2,"[0.0005671305116266012, 0.0003420311550144106, 0.9990907907485962]"
0,0,"[0.973355233669281, 0.005466222297400236, 0.02117851935327053]"
0,0,"[0.9995033740997314, 4.673034345614724e-05, 0.00044995665666647255]"
2,2,"[0.000163879114552401, 0.00017215314437635243, 0.9996639490127563]"
2,2,"[0.0006814120570197701, 0.0010043277870863676, 0.9983142614364624]"
2,2,"[2.756218009380973e-07, 2.0511286891178315e-07, 0.9999995231628418]"
2,2,"[0.04391913115978241, 0.006181264761835337, 0.9498996138572693]"
2,2,"[0.0031539162155240774, 0.0020983978174626827, 0.9947476983070374]"
2,2,"[8.100627013618578e-08, 3.050549679528558e-08, 0.9999998807907104]"
2,2,"[1.9167170250966592e-07, 8.579792876162173e-08, 0.9999997615814209]"
2,2,"[0.00020126078743487597, 0.00014481887046713382, 0.9996539354324341]"
2,2,"[4.798821464646608e-06, 4.086533863301156e-06, 0.9999910593032837]"
2,2,"[1.1838567104405229e-07, 7.854315953181867e-08, 0.9999997615814209]"
2,2,"[2.0385887182783335e-06, 2.2708245523972437e-06, 0.9999957084655762]"
1,1,"[0.002360254293307662, 0.9921332597732544, 0.005506468471139669]"
2,2,"[0.09580910950899124, 0.007982595823705196, 0.8962082862854004]"
2,2,"[1.6714533558115363e-05, 9.62262765824562e-06, 0.9999736547470093]"
2,2,"[3.9084905978370443e-08, 1.553623008021532e-08, 1.0]"
2,2,"[2.2236889662963222e-07, 9.10897597350413e-08, 0.9999996423721313]"
2,2,"[9.273787145502865e-05, 4.112530587008223e-05, 0.9998661279678345]"
2,2,"[7.020587986517057e-07, 3.5858508340425033e-07, 0.999998927116394]"
0,0,"[0.9943623542785645, 0.0018562619807198644, 0.003781393403187394]"
0,0,"[0.9999829530715942, 9.467917152505834e-07, 1.6069177945610136e-05]"
2,2,"[7.390491418846068e-08, 1.923759285205051e-08, 0.9999998807907104]"
0,0,"[0.9989228844642639, 0.00015030712529551238, 0.0009268335998058319]"
2,2,"[7.348213785007829e-06, 2.8442073016776703e-06, 0.9999897480010986]"
2,2,"[0.017653558403253555, 0.0023495431523770094, 0.979996919631958]"
2,2,"[0.018799375742673874, 0.045751217752695084, 0.9354494214057922]"
2,2,"[4.976094487574301e-07, 1.8019743208697037e-07, 0.9999992847442627]"
0,0,"[0.9997671246528625, 1.777744182618335e-05, 0.00021516603010240942]"
1,1,"[0.012623787857592106, 0.9531344771385193, 0.03424172103404999]"
1,1,"[0.0006054001860320568, 0.9973136782646179, 0.0020809690468013287]"
2,2,"[5.542293820326449e-06, 2.4858068172761705e-06, 0.9999920129776001]"
2,2,"[0.0033724901732057333, 0.0015586637891829014, 0.9950687885284424]"
1,1,"[0.00020256603602319956, 0.9991415739059448, 0.0006557487067766488]"
2,2,"[7.091634324751794e-05, 3.8977901567704976e-05, 0.9998900890350342]"
2,2,"[0.0007040660129860044, 0.0009140637703239918, 0.9983818531036377]"
1,1,"[4.277307016309351e-05, 0.9998025298118591, 0.00015466248441953212]"
2,2,"[1.539332515676506e-05, 1.2461460755730513e-05, 0.9999721050262451]"
2,2,"[3.349696271470748e-07, 1.7506528138255817e-07, 0.9999995231628418]"
2,2,"[0.07081115245819092, 0.00690187094733119, 0.9222869873046875]"
2,2,"[2.6811324005393544e-07, 1.7200417801177537e-07, 0.9999995231628418]"
2,2,"[6.967248191358522e-05, 0.0002767361584119499, 0.9996535778045654]"
1,1,"[0.002315608784556389, 0.9924736022949219, 0.005210865288972855]"
1,1,"[0.0004059161292389035, 0.9986612796783447, 0.0009328083251602948]"
2,2,"[8.460787626063393e-07, 1.818793180063949e-06, 0.9999973773956299]"
2,2,"[2.8917547751916572e-05, 1.9510393030941486e-05, 0.9999516010284424]"
2,2,"[3.7799179608555278e-06, 2.8255847155378433e-06, 0.9999934434890747]"
0,0,"[0.9932066202163696, 0.001993388868868351, 0.004800035152584314]"
0,0,"[0.9962848424911499, 0.001061182003468275, 0.0026539396494627]"
1,1,"[0.00014489202294498682, 0.9982597231864929, 0.0015952836256474257]"
0,0,"[0.9995519518852234, 3.399409251869656e-05, 0.0004140538803767413]"
2,2,"[2.8371625830914127e-06, 1.9928472738683922e-06, 0.9999951124191284]"
2,2,"[5.334559773473302e-06, 2.4311293600476347e-06, 0.9999922513961792]"
2,2,"[1.6191997929126956e-05, 9.59620410867501e-06, 0.999974250793457]"
2,2,"[7.619472398801008e-06, 5.7393267525185365e-06, 0.9999866485595703]"
0,0,"[0.9989928603172302, 0.00011311372509226203, 0.0008939447579905391]"
2,2,"[0.15028640627861023, 0.077682264149189, 0.772031307220459]"
2,2,"[7.243950221891282e-07, 1.941579768072188e-07, 0.9999990463256836]"
0,0,"[0.9908730983734131, 0.0015603679930791259, 0.007566455285996199]"
2,2,"[2.074058258472178e-08, 8.650991922820594e-09, 1.0]"
